,lineage,lat,long,DO,Temperature,pH,SpCond,H2Smol
m_1,PmexPuyS,17.464,-92.895,1.73,25.7,7.2,2285,26.2
m_2,PmexTacS,17.438,-92.775,1.29,27.9,6.8,3992,129.2
m_3,PmexPichS,17.552,-92.999,1.06,31.2,6.8,2697,190.4
m_4,PlatS,28.8633,-81.248,0.6,26.3,7.1,2645,49.4
m_5,LsulS,18.398,-71.57,4.8,26.2,7.3,1257,11.8
m_6,GsexS,17.582,-92.9,1.31,27.2,6.9,1931,36.7
m_7,GeurS,17.552,-92.999,1.06,31.2,6.8,2697,190.4
m_8,GholS,28.8633,-81.248,0.6,26.3,7.1,2645,49.4
m_9,PbimS,17.532,-93.015,0.99,29.4,6.8,2238,154.8
m_10,XhelS,17.532,-93.015,0.99,29.4,6.8,2238,154.8